userId,assessmentType,attentionLossRate,behaviorScore,behavioralConsistencyScore,blinkDensity,blinkFrequencyNormalized,clickRatePerMinute,doubleClickRatio,dragRate,engagementScore,facePresenceRatio,focusChangeRate,focusLossRate,headMovementRate,headMovementScore,idlePercentage,keyboardActivityScore,keyboard_avgInterKeyLatency,keyboard_avgKeyPressDuration,keyboard_backspaceCount,keyboard_copyAttempts,keyboard_ctrlComboCount,keyboard_deleteCount,keyboard_errorRate,keyboard_pasteAttempts,keyboard_shiftUsageCount,keyboard_totalKeystrokes,keyboard_typingRhythmVariance,keystrokesPerMinute,lookAwayRate,mouseActivityScore,mouseKeyboardRatio,mouseSpeedPerHeadSpeed,mouse_acceleration,mouse_avgSpeed,mouse_clickFrequency,mouse_cursorSmoothness,mouse_doubleClicks,mouse_dragEvents,mouse_maxSpeed,mouse_rightClicks,mouse_scrollDistance,mouse_scrollEvents,mouse_totalClicks,mouse_totalMovement,movementPerClick,movementPerSecond,responseConsistency,screenActivityScore,screen_activityDensity,screen_averageMouseStopDuration,screen_averageScrollBurstDuration,screen_cursorAcceleration,screen_cursorJitter,screen_cursorSmoothness,screen_cursorSpeed,screen_focusChanges,screen_idleDuration,screen_idleEventCount,screen_maximumIdleDuration,screen_mouseEventsPerSecond,screen_mousePathCurvature,screen_mouseStopCount,screen_scrollBurstCount,screen_scrollEventsPerSecond,screen_scrollFrequency,screen_scrollSpeed,scrollBurstRate,scrollDistancePerMinute,scrollRatePerMinute,session_avgNetworkLatencyMs,session_avgResponseTimeMs,session_focusChanges,session_idlePeriodsCount,session_idleTimeMs,session_tabSwitches,typingConsistencyScore,typingEfficiency,typingSpeedPerMouseMovement,webcamAttentionScore,webcam_averageBlinkDuration,webcam_averageFaceConfidence,webcam_averageFacePosition_x,webcam_averageFacePosition_y,webcam_averageFaceSize,webcam_averageHeadSpeed,webcam_averageLookAwayDuration,webcam_averagePitch,webcam_averageRoll,webcam_averageYaw,webcam_blinkCount,webcam_blinkIntervalVariance,webcam_blinkRate,webcam_continuousFaceLossCount,webcam_eyeClosureRate,webcam_faceBoundingBox_height,webcam_faceBoundingBox_width,webcam_faceBoundingBox_x,webcam_faceBoundingBox_y,webcam_faceDisappearanceDuration,webcam_faceVisiblePercentage,webcam_headMovementVariance,webcam_lookAwayCount,webcam_lookingDownDuration,webcam_lookingDownPercentage,webcam_lookingLeftDuration,webcam_lookingLeftPercentage,webcam_lookingRightDuration,webcam_lookingRightPercentage,webcam_lookingUpDuration,webcam_lookingUpPercentage,webcam_maximumBlinkDuration,webcam_maximumFaceLossDuration,webcam_maximumHeadSpeed,webcam_maximumLookAwayDuration,webcam_numberOfFaces,webcam_pitchStdDeviation,webcam_rollStdDeviation,webcam_screenAttentionPercentage,webcam_yawStdDeviation
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,Coding,0,0.3075056807470142,,3.75,0.568224032004572,1.6071428571428572,0.0,1.0,0.402881323326209,1.0,0.0,0.0,58.51291071428572,0.3329042718509497,13.0,0.3177948016770566,418.4235294117647,117.66386554621847,3.0,0.0,0.0,0.0,0.01171875,0.0,33.0,256.0,208484.761799308,137.14285714285714,0.5357142857142857,0.2878045585578562,0.0116731517509727,0.0011788657663708,0.3044040679613448,0.7159841232053479,0.0443432760812368,0.7666336103680675,0.0,3.0,9.580834386589332,0.0,0.0,0.0,3.0,2279.410801804164,759.803600601388,20.351882158965747,0.267387414480626,0.0057650818307122,0.0159,5.101,0.0,0.1755,0.7612,0.9349,0.0198,0.0,14.56,2.0,8.27,0.018,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.10000002384186,87131.0,0.0,0.0,0.0,0.0,,12.721669688267106,0.1123097248628351,0.6186582809224318,269.41,0.958,0.5404,0.6509,0.037,607.35,3.52,-163.11,-12.24,12.8,7.0,0.0422,119.31,0.0,0.5357,0.222,0.1665,0.4571,0.5399,0.0,100.0,6553.446,1.0,0.0,0.0,0.0,0.0,0.75,21.43,3.39,96.43,502.9,0.0,2856.72,3.52,1.0,6.0,79.72,0.0,12.71
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,Coding,0,0.3052651647859388,,3.779527559055118,0.5737486307567747,1.889763779527559,0.0,1.0,0.408357490653033,1.0,0.0,0.0,28.08769291338583,0.2799330613730554,11.763779527559056,0.3498622308253849,375.1358024691358,124.09863945578232,11.0,0.0,0.0,0.0,0.0338461538461538,0.0,48.0,325.0,105622.23464410914,153.54330708661416,0.4724409448818897,0.2427468609508007,0.0122699386503067,0.0018394639906174,0.3224134652406368,0.6391401581799294,0.0318506839934387,0.7561931470639042,0.0,4.0,5.3945864067600215,0.0,0.0,0.0,4.0,1158.9715760857923,289.7428940214481,9.125760441620413,0.2518788326237382,0.0081161375981777,0.0167,5.492,0.0,0.3598,1.8954,0.8402,0.0343,0.0,14.94,2.0,7.82,0.0159,6.95,3.0,0.0,0.008,0.48,2.0741,0.0,0.0,0.0,325.10000002384186,93744.0,0.0,0.0,0.0,0.0,,12.721669688267106,0.2804210273194327,0.620335429769392,284.59,0.9588,0.5133,0.592,0.0364,347.46,3.98,-164.26,4.11,10.5,8.0,0.0446,120.47,0.0,0.5714,0.2202,0.1652,0.4307,0.4819,0.0,100.0,3567.137,1.0,0.0,0.0,0.0,0.0,1.57,39.29,3.84,96.43,426.88,0.0,1290.71,3.98,1.0,4.09,57.9,0.0,14.07
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,Coding,0,0.3050834004352648,,2.2131147540983607,0.182359384674001,2.459016393442623,0.0,1.0,0.450791555520827,1.0,0.0,0.0,85.9114262295082,0.2606047116405214,3.418032786885246,0.2738326098680321,419.7113095238095,117.1590909090909,8.0,0.0,0.0,0.0,0.0386904761904761,0.0,18.0,191.0,250656.93846212464,93.9344262295082,0.4918032786885246,0.2657861639967802,0.0260416666666666,0.0013392567628024,0.2389928991901473,0.4903755599839285,0.0543047364591139,0.8071071276144018,0.0,5.0,4.126893504804794,0.0,0.0,0.0,5.0,1483.2557403992976,296.6511480798595,12.15783393769916,0.2185703327315886,0.052308119280859,0.1534,1.591,0.0,1.5267,1.8225,0.7592,0.1556,0.0,4.17,1.0,3.74,0.0249,7.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.10000002384186,70098.5,0.0,0.0,0.0,0.0,,12.721669688267106,0.1287707809231752,0.6284067085953878,219.545,0.96265,0.5769500000000001,0.6545000000000001,0.08285,366.155,3.945,-120.575,1.165,-3.53,4.5,0.04655,38.29,0.0,0.33975,0.3316,0.2486999999999999,0.4575,0.5008999999999999,0.0,100.0,10481.194,1.0,0.18,4.13,0.0,0.0,0.0,0.0,2.2,68.37,328.435,0.0,2282.86,3.945,1.0,93.51,4.01,0.0,6.52
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,Coding,0,0.3162586590112501,,2.9166666666666665,0.4789731866457112,1.25,0.0,1.0,0.4062269378729318,0.963,0.0,0.0,9.419472222222222,0.2168567935232612,12.604166666666666,0.3729569059016506,402.0697674418605,129.77815699658703,9.0,0.0,0.0,0.0,0.0260869565217391,0.0,65.0,345.0,134201.82071389933,143.75,0.4166666666666666,0.2680448404856649,0.0086705202312138,0.0040825366928188,0.3229391982587169,0.7822140303440932,0.0433864576403551,0.7558926376330999,0.0,3.0,3.8017265814363874,0.0,0.0,0.0,3.0,1350.4480827124298,450.1493609041433,9.378111685502985,0.2232684153505494,0.0106661366116894,0.0238,4.853,0.0,0.269,1.3874,0.8641,0.0299,0.0,18.15,2.0,9.15,0.0211,0.0,4.0,0.0,0.007,0.42,1.7615,0.0,0.0,0.0,325.10000002384186,104474.0,0.0,0.0,0.0,0.0,,12.721669688267106,0.2554707614579699,0.6133667530459955,275.35,0.9643,0.5497,0.6085,0.0369,191.6,4.18,-166.29,5.93,2.97,7.0,0.0057,100.57,0.0,0.4615,0.2215,0.1661,0.4666,0.4978,0.16,96.3,1356.404,1.0,0.0,0.0,0.32,7.41,0.16,3.7,4.02,92.59,481.87,0.16,1100.23,4.18,2.0,3.4,33.78,0.0,14.28
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,Coding,0,0.3111160560942294,,2.255639097744361,0.3420012382721341,1.8045112781954888,0.0,1.0,0.411275529311929,1.0,0.0,0.0,10.225804511278197,0.2393676900200736,12.75187969924812,0.3576112100293518,388.4741641337386,124.53398058252426,10.0,0.0,0.0,0.0,0.0303030303030303,0.0,39.0,330.0,97650.7478127512,148.8721804511278,0.4511278195488721,0.2450326764956836,0.0120845921450151,0.0022727595144399,0.2434034341166093,0.5158482269924309,0.0653584091763206,0.8042441998806782,0.0,4.0,2.1360009363293826,0.0,0.0,0.0,4.0,983.4936673585612,245.8734168396403,7.394689228259858,0.2568595558351815,0.010164153365509,0.0169,5.652,0.0,0.4452,2.03,0.8253,0.0412,0.0,16.96,3.0,7.6,0.0152,7.21,3.0,0.0,0.0152,0.91,1.6133,0.0,0.0,0.0,325.10000002384186,91714.5,0.0,0.0,0.0,0.0,,12.721669688267106,0.3355385102644376,0.6316561844863731,238.74,0.9642,0.5453,0.608,0.0341,226.97,4.18,-168.38,4.96,-0.25,5.0,0.1169,71.81,0.0,0.2857,0.213,0.1597,0.4655,0.5015,0.0,100.0,1360.032,1.0,0.0,0.0,0.6,14.29,0.15,3.57,4.03,96.43,447.63,0.0,1210.74,4.18,1.0,4.67,32.67,0.0,16.47
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,Coding,0,0.3126865537022882,,3.255813953488372,0.5131685478877935,2.3255813953488373,0.0,1.0,0.3998723113016979,0.9643,0.0,0.0,27.51248837209302,0.2794682849861833,13.46511627906977,0.3605718044806879,356.4597701149425,118.38187702265373,7.0,0.0,0.0,0.0,0.0200573065902578,0.0,58.0,349.0,125776.92654247582,162.32558139534882,0.4651162790697674,0.2735135901771043,0.0142857142857142,0.0014724411852606,0.2555703880518474,0.5342016620125652,0.0642161773393953,0.7964507681258776,0.0,5.0,4.235702594681104,0.0,0.0,0.0,5.0,1690.752265096542,338.15045301930843,13.106606706174745,0.2620180872805658,0.0051598228741807,0.0147,6.309,0.0,0.2094,0.8089,0.9234,0.0232,0.0,17.37,2.0,9.61,0.0157,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.10000002384186,89527.5,0.0,0.0,0.0,0.0,,12.721669688267106,0.2064169939054153,0.6115009972771802,165.0,0.9631,0.526,0.6825,0.0439,362.8,3.9,-168.01,-7.72,11.93,7.0,0.0515,107.75,0.0,0.2963,0.2416,0.1812,0.4354,0.5617,0.14,96.43,3549.111,1.0,0.0,0.0,0.0,0.0,1.44,35.71,3.75,92.86,288.75,0.14,1283.41,3.9,1.0,5.76,57.65,0.0,13.86
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,MCQ,0,0.3957730238187348,,0.0,0.0,22.5,0.0,1.0,0.3832500447422843,0.9286,0.0,0.0,397.404,0.4544352645162823,23.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.2846986092864728,6.0,0.0001384529394573,0.1596568298427952,0.3092664844541154,0.4201386457530985,0.8623240723167743,0.0,6.0,3.6763602924631855,0.0,1500.0,15.0,6.0,1477.580840938586,246.26347348976435,92.34880255866165,0.2219393868456888,0.693840128750668,0.1799,1.625,0.069,2.4126,6.0571,0.7436,0.1556,0.0,3.74,1.0,3.74,3.393,36.12,5.0,4.0,1.1745,70.47,1.0551,15.0,5625.0,56.25,325.10000002384186,9648.6,0.0,0.0,0.0,0.0,,12.721669688267106,0.0,0.6045533572377986,0.0,0.9683,0.5578,0.6221,0.042,2233.73,0.49,-161.55,-9.7,-4.33,0.0,0.0,0.0,0.0,0.0385,0.2364,0.1773,0.4691,0.5039,0.04,92.86,6358.464,1.0,0.0,0.0,0.3,57.14,0.11,21.43,0.43,82.14,0.0,0.02,18982.8,0.49,1.0,68.19,32.7,0.0,25.28
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,MCQ,0,0.3941352307819726,,0.0,0.0,24.0,0.0,1.0,0.4499368284389065,1.0,0.0,0.0,8.434866666666666,0.1052282905272661,14.800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2599219271359237,6.0,0.0010486003288833,0.1390552472498283,0.2370990203638117,0.4777830864787387,0.877920541970578,0.0,6.0,2.0155644370746373,0.0,1400.0,14.0,6.0,778.68672589619,129.78112098269833,51.91244839307933,0.1870470474583184,0.6545644886544407,0.2155,1.244,0.094,3.3624,10.1789,0.6718,0.2111,0.0,2.22,1.0,2.22,3.3544,20.98,5.0,4.0,1.0063,60.38,1.0668,16.0,5600.0,56.0,325.10000002384186,6952.6,0.0,0.0,0.0,0.0,,12.721669688267106,0.0,0.6620545073375262,0.0,0.9787,0.5432,0.6208,0.0408,226.11,0.51,-176.51,-4.15,-16.42,0.0,0.0,0.0,0.0,0.0,0.2332,0.1749,0.4557,0.5042,0.0,100.0,126.523,1.0,0.0,0.0,0.4,78.57,0.02,3.57,0.49,96.43,0.0,0.0,2108.95,0.51,1.0,0.67,2.11,0.0,11.03
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,MCQ,0,0.3928729396733528,,0.0,0.0,27.69230769230769,0.0,1.0,0.5234804949939091,1.0,0.0,0.0,349.31892307692306,0.2602528085139414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615384615384616,0.2938326538089844,6.0,0.0001591710392764,0.1230518481276001,0.3413964118816968,0.5389382915656158,0.8904308395620759,0.0,6.0,2.280350850198276,0.0,1500.0,15.0,6.0,875.3968742487644,145.89947904146075,67.3382210960588,0.1864080321642983,0.6235710545699615,0.2139,1.005,0.08,2.2384,4.5982,0.7453,0.1723,0.0,0.0,0.0,0.0,3.0548,27.32,5.0,3.0,0.9928,59.57,1.1045,13.846153846153848,6923.076923076923,69.23076923076923,325.10000002384186,6904.0,0.0,0.0,0.0,0.0,,12.721669688267106,0.0,0.6540880503144654,0.0,0.9749,0.5516,0.628,0.0392,2144.84,0.42,-163.26,-3.43,-17.93,0.0,0.0,0.0,0.0,0.0,0.2284,0.1713,0.466,0.5138,0.0,100.0,4541.146,1.0,0.0,0.0,0.34,82.14,0.0,0.0,0.37,89.29,0.0,0.0,24314.17,0.42,1.0,65.83,2.27,0.0,14.23
0c745563-cc6e-49cd-9a07-5bbd371a5fc8,MCQ,0,0.3829048350033947,,0.0,0.0,27.69230769230769,0.0,1.0,0.5157710757826198,1.0,0.0,0.0,9.11046153846154,0.0993297394239908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615384615384616,0.2718821858190546,6.0,0.0009453770351074,0.144337939839337,0.3044586741563398,0.5021340697966357,0.8738677318873114,0.0,6.0,3.103677254483784,0.0,1200.0,12.0,6.0,842.2224979423796,140.37041632372993,64.78634599556766,0.1939402089920442,0.6110998376326792,0.18,1.121,0.082,2.4037,6.747,0.722,0.1672,0.0,0.0,0.0,0.0,2.7711,51.56,5.0,5.0,1.0776,64.66,1.1301,23.07692307692308,5538.461538461538,55.38461538461539,325.10000002384186,7478.6,0.0,0.0,0.0,0.0,,12.721669688267106,0.0,0.648637316561845,0.0,0.9723,0.5634,0.6293,0.0372,322.05,0.47,-173.88,2.5,-22.49,0.0,0.0,0.0,0.0,0.0357,0.2226,0.1669,0.4799,0.518,0.0,100.0,118.436,1.0,0.0,0.0,0.42,89.29,0.0,0.0,0.45,96.43,0.0,0.0,2597.13,0.47,1.0,2.17,3.93,0.0,9.91
